hundename,geburtsjahr_hund,geschlecht_hund
"Amandob's Lady Arya",2015,"w"
"Amar",2014,"m"
"Amara",2007,"w"
"Amaretto",2011,"m"
"Amaru",2016,"m"
"Amazing Adel. fr.Sands.(Bonita",2007,"w"
"Amazing Louis",2014,"m"
"Amber",2016,"w"
"Amber",2013,"w"
"Amber",2013,"w"
"Amber (Peggy)",2013,"w"
"Ameli",2012,"w"
"Amelia",2012,"w"
"Amelie",2016,"w"
"Amelie (Anneli)",2006,"w"
"Amia (Thaikru)",2006,"w"
"Amico",2016,"m"
"Amie",2004,"w"
"Amigo",2008,"m"
"Amigo",2017,"m"
"Amigo",2011,"m"
"Amigo",2011,"m"
"Amil",2012,"m"
"Amina",2005,"w"
"Amira",2008,"w"
"Amira",2013,"w"
"Amira",2009,"w"
"Amira",2009,"w"
"Amira",2014,"w"
"Amira",2010,"w"
"Amiro",2011,"m"
"Amo (Zorro)",2011,"m"
"Amon",2002,"m"
"Amor",2012,"m"
"Amor",2011,"m"
"Amor",2005,"m"
"Amor",2017,"w"
"Amor",2009,"m"
"Amor",2015,"m"
"Amora",2012,"w"
"Amore",2010,"w"
"Amore mio",2010,"m"
"Amos",2017,"m"
"Amos",2015,"m"
"Amos",2016,"m"
"Amos",2012,"m"
"Amos (Strolchi)",2006,"m"
"Amour",2010,"m"
"Amour",2012,"m"
"Amun",2013,"m"
"Amy",2008,"w"
"Amy",2005,"w"
"Amy",2011,"w"
"Amy",2015,"w"
"Amy",2010,"w"
"Amy",2014,"w"
"Amy",2017,"w"
"Amy",2010,"w"
"Amy",2010,"w"
"Amy Butterfly",2017,"w"
"Amy-Siu-Siu",2010,"w"
"Amélie-Milly",2017,"w"
"Anat",2012,"w"
"Ando",2016,"m"
"Andora",2004,"w"
"Andra",2002,"w"
"Andra",2013,"w"
"Andy",2005,"m"
"Ane",2010,"w"
"Angel",2016,"m"
"Angel",2006,"w"
"Angel",2016,"w"
"Angel",2009,"m"
"Angel",2014,"w"
"Angel (Sisi)",2015,"w"
"Angel Face",2013,"w"
"Angel von Matterand",2011,"m"
"Angi",2017,"w"
"Angie",2014,"w"
"Angle",2009,"w"
"Angus (Rowan)",2015,"m"
"Angélina",2013,"w"
"Anik",2013,"w"
"Anisette (Sasha)",2016,"w"
"Anjo",2014,"m"
"Anjo",2015,"m"
"Anna",2013,"w"
"Anna",2008,"w"
"Anna (chilchil v Montfortwald)",2016,"w"
"Annabella",2015,"w"
"Anouk",2014,"w"
"Anouk",2017,"w"
"Anouk",2017,"w"
"Anouk (Quanti)",2013,"w"
"Anouk vom Leukergrund",2012,"w"
"Antares",2009,"m"
"Anthony ""Lilo""",2015,"m"
"Anton",2010,"m"
"Antonia",2010,"w"
"Anubis",2011,"m"
"Anubis",2015,"w"
"Anuk (vom Glashof)",2007,"w"
"Anya",2004,"w"
"Api",2017,"w"
"Apollo",2017,"m"
"Apollo",2012,"m"
"Apollo (Fläckli)",2016,"m"
"Apu",2012,"m"
"Aqua",2008,"w"
"Ara",2010,"w"
"Arabeska",2013,"w"
"Aragon",2010,"m"
"Aragon of Shining Star",2015,"m"
"Aramis",2006,"m"
"Aramis",2016,"m"
"Aramis Navid",2016,"m"
"Aramis-Gaston",2017,"m"
"Araya vom Tannzapfenland",2015,"w"
