HUNDENAME,GEBURTSJAHR_HUND,GESCHLECHT_HUND
"Ewii (Pickwick Evita)",2009,"w"
"Exactly Him F.T.L. Big (Lapo)",2012,"m"
"Exana",2003,"w"
"Excalibur of Mara's Home",2007,"m"
"Eyla",2005,"w"
"Eyla vom Rassel-Team",2014,"w"
"Eyron",2009,"m"
"Eyvind von den Elfen",2013,"m"
"Ezechiele",2006,"m"
"Fabio",2003,"m"
"Fado",2014,"m"
"Fafa (Bimba)",2010,"w"
"Fägi",2010,"m"
"Fagott",2016,"m"
"Fairy",2006,"m"
"Fairy-Floss Blueberry Muffin",2009,"w"
"Falca",2006,"w"
"Falco",2009,"m"
"Falco",2010,"m"
"Falco",2011,"m"
"Falco",2007,"m"
"Falco",2009,"m"
"Fame",2012,"w"
"Fame",1999,"w"
"Fanjo",2007,"m"
"Fanny",2013,"w"
"Fanta",2010,"m"
"Fantasia",2003,"w"
"Faolan",2014,"m"
"Farah",2015,"w"
"Farah",2006,"w"
"Farah",2008,"w"
"Fargo",2010,"m"
"Farina",2014,"w"
"Farino",2001,"m"
"Faro",2007,"m"
"Faro",2006,"m"
"Farrusca",2015,"w"
"Faruk",2009,"m"
"Fausto vom Schloss Henneberg",2016,"m"
"Favia v. Dorfbach",2009,"w"
"Fay",2012,"w"
"Fay",2013,"w"
"Faya",2011,"w"
"Faye",2009,"w"
"Faye",2014,"w"
"Fe (Floppy)",2011,"w"
"Fe (Vivi)",2016,"w"
"Feco (Arpad)",2006,"w"
"Fee (Claim to Courage)",2012,"w"
"Feith",2011,"m"
"Felfel",2016,"m"
"Felice",2007,"m"
"Feliks",2012,"m"
"Felina",2002,"w"
"Felix",2000,"m"
"Felix",2007,"m"
"Felix",2010,"m"
"Felix",2012,"m"
"Felix (Candyboy v. alten Zoll)",2008,"m"
"Feliz",2009,"m"
"Feliz",2012,"m"
"Fellini",2004,"m"
"Fellow",2012,"m"
"Fenja-Chanell of Clermont",2016,"w"
"Fenjo",2009,"m"
"Fenny",2000,"m"
"Fenya",2009,"w"
"Ferdinand",2013,"m"
"Ferdinand vom Bismarckstein",2011,"m"
"Fermin (Casa Libra)",2011,"m"
"Feta",2009,"w"
"Fetiza",2007,"w"
"Fey-Felice",2013,"w"
"Fiamma",2004,"w"
"Fiasco",2006,"m"
"Fibi",2012,"w"
"Fibie",2004,"w"
"Ficelle",2010,"w"
"Fiete (Alf von fünf Dörfer)",2015,"m"
"Fiffi",2014,"w"
"Fifi",2009,"w"
"Figaro",2006,"m"
"Figaro",2014,"m"
"Figaro",2009,"m"
"Figo",2011,"m"
"Fila",2009,"w"
"Fili",2012,"w"
"Filip",2009,"m"
"Filipa",2013,"w"
"Fillipa",2011,"w"
"Fillis",2010,"w"
"Filo",2007,"w"
"Filou",2013,"m"
"Filou",2009,"m"
"Filou",2012,"m"
"Filou",2015,"m"
"Filou",2008,"m"
"Filou",2012,"m"
"Filou",2010,"m"
"Filou",2002,"m"
"Filou",2004,"m"
"Filou",2005,"m"
"Filou",2013,"m"
"Filou",2006,"m"
"Filou (Alrischa)",2008,"m"
"Filou (Poti)",2007,"m"
"Filou-Sid",2010,"m"
"Fina",2005,"w"
"Fina",2014,"w"
"Finch Hatton Benetton",2009,"m"
"Findus",2011,"m"
"Fine",2015,"w"
"Finette",2010,"w"
"Finette (Bubu)",2006,"w"
"Fini",2009,"w"
"Finia von Burg Schwärtzenberg",2012,"w"
"Finija",2015,"w"
"Finistere",2010,"w"
"Finley",2010,"m"
"Finley",2014,"m"
"Finley",2007,"m"
"Finn",2014,"m"
"Finn",2011,"m"
"Finn",2011,"m"
"Finn",2009,"m"
"Finn",2015,"m"
"Finn",2016,"m"
"Finn (Filou)",2011,"m"
"Finney",2008,"w"
"Finnia",2014,"w"
"Finnix (Nick v.d. Joderten)",2016,"m"
"Finnley",2001,"m"
"Finou Irma",2016,"w"
"Fintus",2003,"m"
"Fiocca",2008,"w"
"Fiocco",2006,"m"
"Fiocco",2010,"m"
"Fiona",2009,"w"
"Fiona",2007,"w"
"Fiona",2012,"w"
"Fiona",2010,"w"
"Fiona",2007,"w"
"Fiore",2013,"m"
"Fiori",2006,"w"
"Fips",2008,"m"
"Fire an Ice",2009,"m"
"Firen",2015,"w"
"Fiselle",2010,"m"
"Fitch",2010,"m"
"Fitz",2002,"m"
"Fju",2010,"m"
"Flaek (Merlin Siebenbannstein)",2012,"m"
"Flambo",2010,"m"
"Flame",2014,"m"
"Flamenco",2014,"m"
"Flash",2012,"m"
"Flash",2013,"w"
"Flash",2012,"w"
"Flash",2005,"m"
"Flat",2004,"m"
"Flavia",2009,"w"
"Flecki",2014,"w"
"Flecky",2015,"m"
"Flecky",2013,"m"
"Fletcher",2004,"m"
"Fleur",2014,"w"
"Flicka",2003,"w"
"Flicka (Frieda)",2013,"w"
"Flip",2012,"m"
"Flip",2001,"m"
"Flip",2010,"m"
"Flip v. den Glückspfoten",2016,"m"
"Flo",2016,"m"
"Flo (NN)",2016,"w"
"Flocke (Dalmor Beety Boo)",2008,"w"
"Flocki",2009,"m"
"Flocki",2008,"m"
"Flöckli",2012,"w"
"Flöckli",2002,"m"
"Flocky",2015,"w"
"Flocky Coco of Clermont",2016,"w"
"Floh",2003,"m"
"Floh",2008,"w"
"Floh",2004,"w"
"Flor",2010,"w"
"Flora",2009,"w"
"Flora",2011,"w"
"Flora",2014,"w"
"Flori (Jerry)",2012,"m"
"Florin 2",2011,"w"
"Flory gennant Zargo",2006,"m"
"Flosina",2016,"w"
"Flufi Thing",2000,"w"
"Fluke",2014,"m"
"Flummy",2013,"w"
"Fluse",2002,"m"
"Fly",2006,"w"
"Fly",2006,"m"
"Flynn",2014,"m"
"Flynt",2007,"m"
"Fofhina",2011,"w"
"Fofinha",2011,"w"
"Fofinha",2012,"w"
"Fofinna",2013,"w"
"Fogo",2004,"m"
"Foltos",2004,"m"
"Fonsi",2005,"m"
"Fonzy",2010,"m"
"Forge",2007,"m"
"Fortuna (Fortune)",2010,"w"
"Fossi",2010,"m"
"Fox (Casey)",2009,"m"
"Foxy",2008,"w"
"Foxy",2014,"w"
"Foxy",2010,"w"
"Foxy",2008,"m"
"Foxy",2006,"m"
"Francis",2016,"m"
"Francisca",2008,"w"
"Frangipani von Springbell",2016,"w"
"Frank",2008,"m"
"Fränki",2002,"m"
"Frankie",2010,"m"
"Franklin",2009,"m"
"Franky",2004,"w"
"Fränzi",2009,"w"
"Franzi Hamira",2011,"w"
"Freaky",2013,"m"
"Fred",2007,"m"
"Freddie",2011,"m"
"Freddy",2012,"m"
"Freddy",2016,"m"
"Frederic",2004,"m"
"Fredi",2010,"m"
"Fredi",2016,"m"
"Fredi (Know How)",2007,"m"
"Freiya vom Zauberwald (Jacky)",2016,"w"
"Frenzy",2007,"m"
"Freya",2014,"w"
"Fricike",2015,"m"
"Fricki (Meru)",2010,"m"
"Frida",2007,"w"
"Frida",2008,"w"
"Frida",2012,"w"
"Frida (Delali)",2015,"w"
"Frido",2012,"m"
"Frieda",2012,"w"
"Frieda",2011,"w"
"Frieda",2013,"w"
"Friponne",2010,"w"
"Fritz",2005,"m"
"Fritz",2012,"m"
"Fritz vom Winterhorn",2008,"m"
"Fritzens Yew",2009,"w"
"Frodo",2015,"m"
"Frodo",2016,"m"
"Frodo",2009,"m"
"Frodo",2009,"m"
"Frodo",2003,"m"
"Frodo",2007,"m"
"Frosty",2014,"m"
"Fubuki des Fées d'Ebène",2010,"w"
"Fuchs",2014,"m"
"Fuchur",2009,"m"
"Fuego",2011,"m"
"Fuego",2005,"m"
"Fuego",2012,"m"
"Fuero",2011,"m"
"Fuffy",2011,"m"
"Fufi",2013,"m"
"Funny",2014,"w"
"Funny",2014,"w"
"Funny",2009,"w"
"Furbo",2013,"m"
"Furbo",2008,"m"
"Fury",2006,"m"
"Fuzzy",2010,"m"
"Fynn",2008,"m"
"Gab",2006,"m"
"Gabrina",2004,"w"
"Gaby (Gabriella/Wolga)",2005,"w"
"Gadsby",2011,"m"
"Gael",2013,"m"
"Gaia",2010,"w"
"Gaia",2008,"w"
"Gaia",2008,"w"
"Gaia",2015,"w"
"Gala",2014,"w"
"Galahad's Guardian - O'Ascot",2015,"m"
"Galeno",2014,"m"
"Galina (Deni)",2010,"w"
"Gambino",2006,"m"
"Gambra",2011,"w"
"Gana",2006,"w"
"Ganbo",2011,"w"
"Gandhi",2015,"m"
"Garo Del sogno del bosco",2010,"m"
"Garrido",2005,"m"
"Garro v. Spalentor",2010,"m"
"Garu",2007,"m"
"Garu",2008,"m"
"Garufa",2012,"w"
"Gaspard",2011,"m"
"Gaya",2005,"w"
"Gayla",2015,"w"
"Gedeone",2014,"m"
"Gedon",2008,"m"
"Geeny",2010,"w"
"Gelahad",2008,"m"
"Gem",2011,"w"
"Gemma",2008,"w"
"Gemma",2010,"w"
"Gemma Züsi",2003,"w"
"Gemme",2010,"w"
"Genette Bleue de la Vallée",2010,"w"
"Génos vom Wolfenstein",2013,"m"
"Gentle",2008,"w"
"George",2014,"m"
"George",2013,"m"
"George",2016,"m"
"George",2015,"m"
"George",2015,"m"
"George",2005,"m"
"George (Jamiro)",2013,"m"
"George (Lotus)",2014,"m"
"Georges",2011,"m"
"Georgia",2015,"w"
"Georgina",2005,"w"
"Georgy",2014,"m"
"Geronimo (Yoy)",2009,"m"
"Gerry",2011,"m"
"Gertie",2004,"w"
"Ghia",2006,"w"
"Ghiara",2003,"w"
"Gia",2008,"w"
"Giada",2005,"w"
"Giada",2007,"w"
"Giada",2010,"w"
"Giamby",1999,"m"
"Gian",2014,"m"
"Gianna",2016,"w"
"Giannino",2006,"m"
"Giany (Gringo de Syringa)",2005,"m"
"Gibbs",2008,"m"
"Gibson",2014,"m"
"Gideon",2003,"m"
"Gigi",2016,"m"
"Gigi",2011,"w"
"Gil",2010,"m"
"Gila",2009,"w"
"Gili",2016,"w"
"Gill",2016,"w"
"Gilla",2011,"w"
"Gilly",2005,"w"
"Gimli",2012,"m"
"Gimmy",2004,"m"
"Gimo",2002,"m"
"Gin",2012,"w"
"Gin",2007,"w"
"Gin",2010,"m"
"Gin",2004,"m"
"Gina",2014,"w"
"Gina",2003,"w"
"Gina",2009,"w"
"Gina",2015,"w"
"Gina",2016,"w"
"Gina",2009,"w"
"Gina",2016,"w"
"Gina",2012,"w"
"Gina",2011,"w"
"Gina",2014,"w"
"Gina",2013,"w"
"Gina",2014,"w"
"Gina",2008,"w"
"Gina",2002,"w"
"Gina",2006,"w"
"Gina",2009,"w"
"Gina",2010,"w"
"Gina",2010,"w"
"Gina",2001,"w"
"Gina",2003,"w"
"Gina",2005,"w"
"Gina (Bella)",2014,"w"
"Gina (Lola)",2016,"w"
"Ginger",2004,"w"
"Ginger",2010,"w"
"Ginger",2005,"m"
"Ginger",2009,"w"
"Ginger",2012,"w"
"Ginger",2009,"w"
"Ginger",2003,"w"
"Ginger",2008,"m"
"Ginger",2005,"w"
"Ginger",2003,"w"
"Ginger (Anastasia)",2005,"w"
"Ginger (Beautiful)",2008,"w"
"Ginger (Nicky)",2006,"w"
"Gingo",2004,"m"
"Gini",2005,"w"
"Gini",2005,"w"
"Gini",2013,"w"
"Gini",2001,"w"
"Gini",2008,"w"
"Ginni",2010,"w"
"Ginnie",2012,"w"
"Ginnie",2013,"w"
"Ginny",2006,"w"
"Ginny",2004,"w"
"Ginny",2014,"w"
"Ginny  (Eaily v. Ramat Gan)",2001,"w"
"Ginny (Manon)",2013,"w"
"Gino",2004,"m"
"Gino",2006,"m"
"Gino",2010,"m"
"Gino",2012,"m"
"Gino",2012,"m"
"Gino",2016,"m"
"Gino",2014,"m"
"Gino (Giamiro)",2015,"m"
"Ginsei",2015,"w"
"Giny",2005,"w"
"Gioia",2004,"w"
"Gioia",2000,"w"
"Gioia",2008,"w"
"Gioia",2015,"w"
"Gioia",2016,"w"
"Gioia",2012,"w"
"Gioia",2012,"w"
"Gioia",2013,"w"
"Gioia",2006,"w"
"Gioia",2008,"w"
"Gioia",2008,"w"
"Gioia",2010,"w"
"Gioia",1999,"w"
"Gioia",2003,"w"
"Gioia (Colette)",2011,"w"
"Gioja",2001,"w"
"Gioja",2003,"w"
"Giorgina (Bonnie)",2009,"w"
"Giorgio",2004,"m"
"Giorgio",2009,"m"
"Giotto Nelson von Shenjamo",2016,"m"
"Giove",2013,"m"
"Gipfeli",2005,"m"
"Gipsy",2007,"w"
"Gipsy",2006,"w"
"Gipsy",2004,"m"
"Gipsy",2008,"w"
"Gipsy",2009,"w"
"Gipsy",2013,"w"
"Gipsy",2015,"w"
"Gipsy",2009,"m"
"Gipsy",2013,"w"
"Gipsy ",2007,"w"
"Giselle",2002,"w"
"Gisi",2006,"w"
"Gisi",2005,"w"
"Gismo",2007,"m"
"Gismo",2006,"m"
"Gismo",2012,"m"
"Gismo",2007,"m"
"Gismo",2005,"m"
"Gismo",2003,"m"
"Gismo",2009,"m"
"Gismo Aton v. Graf Toggenburg",2014,"m"
"Giuli",2005,"w"
"Giuli (Asami)",2014,"w"
"Giulia",2012,"w"
"Giulietta (Eika v. Seebachtal)",2011,"w"
"Gizi",2014,"w"
"Gizma",2003,"m"
"Gizmo",2007,"m"
"Gjila",2001,"w"
"Gjunior",2007,"m"
"Gjynah",2014,"w"
"Gloria Loved Chocolates",2012,"w"
"Glüna",2008,"w"
"Godo",2002,"m"
"Godzilla",2016,"m"
"Golden",2014,"w"
"Goldenberry Minouche",2007,"w"
"Goldie",2010,"w"
"Goldo",2008,"m"
"Golfo",2010,"m"
"Goliath",2001,"m"
"Goliath",2010,"m"
"Goma",2006,"w"
"Gonzo",2013,"m"
"Gonzo",2007,"m"
"Gonzo",2005,"m"
"Gora",2012,"m"
"Gordita",2007,"w"
"Gordon",2003,"m"
"Gordon",2010,"m"
"Goro",2016,"m"
"Gory",2013,"m"
"Gracia",2011,"w"
"Grappa",2014,"m"
"Graustein's",2015,"w"
"Gremlin",2016,"w"
"Greppetto",2007,"m"
"Greta",2007,"w"
"Gretik Sunrise Gold Great Guy",2016,"m"
"Grischa",2011,"w"
"Grischun",2003,"m"
"Griselda",2016,"w"
"Grisu",2008,"m"
"Grisu",2013,"m"
"Grizzly",2012,"m"
"Grizzly (Kaori)",2016,"m"
"Grogi",2001,"m"
"Gromit",2003,"m"
"Groutxo",2007,"m"
"Grubcio",2012,"m"
"Guachita",2015,"w"
"Guaika",2004,"w"
"Guanche",2008,"m"
"Guapo",2006,"m"
"Guapo",2008,"m"
"Gucci",2004,"w"
"Gucci",2015,"w"
"Gucci",2008,"w"
"Gucci",2006,"w"
"Gucci",2012,"m"
"Gucci",2013,"m"
"Gucci",2014,"m"
"Gucci (Clara)",2008,"w"
"Gucci (Couchi)",2004,"w"
"Gucci du Lilas Pourpre",2014,"m"
"Guido of Whistle Soul",2012,"m"
"Guille",2015,"m"
"Günther (Bounty)",2011,"m"
"Gus",2011,"m"
"Gus (Whisky du Dourd)",2011,"m"
"Gustav",2008,"m"
"Gustav",2015,"m"
"Gustav-Emil",2014,"m"
"Gypsi  (Rexane)",2000,"w"
"Gypsie",2001,"w"
"Gypsy",2011,"w"
"Gypsy",2006,"w"
"Gypsy (IV)",2010,"m"
"Haaja",2013,"w"
"Habib",2002,"m"
"Hachiko",2016,"m"
"Hachiko",2011,"w"
"Haco  Harco",2004,"m"
"Hada (Inga ya Mabubesi)",2010,"w"
"Hades",2013,"m"
"Haiiro",2011,"m"
"Haiko",2014,"m"
"Haiku",2014,"m"
"Haiku",2004,"m"
"Haischa-Lou von Kopfrein",2008,"w"
"Haku",2015,"m"
"Halyma Tyra",2010,"w"
"Hamish",2011,"m"
"Hana",2013,"w"
"Handy",2001,"m"
"Hannah",2010,"w"
"Hanneton de Soleur",2010,"m"
"Hannibal",2015,"m"
"Hansika",2013,"w"
"Hanuk (Spike)",2016,"m"
"Happi-Prinz",2011,"m"
"Happy",2014,"w"
"Happy",2013,"m"
"Happy",2013,"m"
"Happy",2005,"w"
"Happy",2003,"m"
"Happy Buba",2013,"w"
"Happy Nelly",2013,"w"
"Happy Vitus",2012,"m"
"Hardy (Rino von Erlosen)",2015,"m"
"Hardy v. Försterhaus",2009,"m"
"Hari",2006,"m"
"Harley",2006,"w"
"Harlow",2013,"m"
"Harmonia",2007,"w"
"Harmony",2012,"w"
"Harpo",2006,"m"
"Harry",2005,"m"
"Harry",2009,"m"
"Harry",2014,"m"
"Harry",2011,"m"
"Harry",2012,"m"
"Harry",2004,"m"
"Harry",2014,"m"
"Harry",2006,"m"
"Harry",2010,"m"
"Harry - Hunter",2015,"m"
"Harry Potter (Boy)",2002,"m"
"Harry v. Bächligraben",2016,"m"
"Haru",2014,"w"
"Haru",2004,"w"
"Harva-Nessa",2016,"w"
"Harvey",2016,"m"
"Haska",2007,"w"
"Hasley",2012,"w"
"Hati Hati Lydia Hug Me",2014,"w"
"Havane",2012,"w"
"Havy",2012,"w"
"Häxli",2008,"w"
"Häxli (Rahel)",2015,"w"
"Hazel",2009,"w"
"Hazel Maggie",2011,"w"
"Hazel vom gelben Diamant",2016,"w"
"H-Chika v. Burg Gryfenstein",2004,"w"
"Heart of Luna",2014,"w"
"Heaven (Marie von der Linde)",2011,"w"
"Heaven-Maya",2016,"w"
"Hector",2014,"m"
"Héctor",2016,"m"
"Hector-Amie v. Wilden Süden",2012,"m"
"Hedgar",2012,"m"
"Hei Hei",2015,"m"
"Heina",2013,"w"
"Heinrich",2006,"m"
"Helga",2013,"w"
"Helia vom Drumlin Wolf",2011,"w"
"Henjie De Syringa",2006,"w"
"Henri",2016,"m"
"Henrietta",2006,"w"
"Henry",2015,"m"
"Henry",2009,"m"
"Henry",2013,"m"
"Henry ",2015,"m"
"Henry (Dalmor)",2006,"m"
"Henry Tudo",2010,"m"
"Henry (Zar-Henry vom Hela-Hof)",2010,"m"
"Henry-Murphy",2016,"m"
"Hera",2015,"w"
"Hera",2015,"w"
"Hera",2012,"w"
"Hera",2009,"w"
"Hera vom G'stellmacherhof",2012,"w"
"Herbert",2004,"m"
"Herby vom Oberneuhaus",2013,"m"
"Hercule",2010,"m"
"Hercules",2010,"m"
"Hermes",2014,"m"
"Hermes (Tito)",2016,"m"
"Hero",2010,"m"
"Hero",2015,"m"
"Herr Streuli",2004,"m"
"Herr Walther",2016,"m"
"Hesra",2011,"w"
"Hestia v. Andreashöhe",2014,"w"
"Hetty",2007,"w"
"Heven",2009,"m"
"Hilda",2016,"w"
"Hillary-Hippi",2005,"w"
"Hip pop",2012,"w"
"Hipsu 4",2009,"m"
"Hitsch",2015,"m"
"Hjo-Ca",2004,"m"
"Hobbes (Ilan)",2015,"m"
"Holly",2008,"w"
"Holly",2012,"w"
"Holly",2008,"w"
"Holly",2004,"m"
"Hollywood-Channel",2009,"w"
"Honey",2005,"w"
"Honey",2012,"w"
"Honey",2010,"w"
"Honey",2008,"w"
"Honey",2009,"w"
"Honey",2009,"w"
"Honey",2003,"w"
"Honey  (Black)",2007,"w"
"Honey Bonny",2012,"w"
"Honey Pralina",2012,"w"
"Honey vom Chaschtele-Blick",2016,"w"
"Hoolie (Leila)",2012,"w"
"Hope",2013,"w"
"Hope",2016,"w"
"Hope",2015,"w"
"Hope (Kira)",2011,"w"
"Hopi",2012,"m"
"Horrace",2006,"m"
"Horton",2011,"m"
"Hubert",2011,"m"
"Hucky del tesoro d'oro",2016,"m"
"Hug me Dark Devil",2003,"m"
"Hugo",2007,"m"
"Hugo",2013,"m"
"Hugo",2006,"m"
"Hugo",2015,"m"
"Hugo",2004,"m"
"Hugo (Nike)",2013,"m"
"Hugo (Snoopy)",2016,"m"
"Hunter-Zorro v. Fridlispitz",2010,"m"
"Hurrican",2008,"m"
"I love Athos",2013,"m"
"I Love Fresa",2012,"w"
"Ian Rufus v. Lindenthalerdörfl",2015,"m"
"Iaro",2015,"m"
"Ibo von der Amalienburg",2009,"m"
"Ice",2013,"m"
"Ice Cube aus dem Farbtopf",2014,"m"
"Ice Prince Percy",2016,"m"
"Idefix",2005,"m"
"Idefix",2015,"m"
"Idefix",2013,"w"
"Idefix",2013,"m"
"Idefix",2011,"m"
"Idefix",2003,"m"
"Idefix",2002,"w"
"Idefix",2005,"w"
"Idefix vom Ghei",2015,"m"
"Ignacio",2016,"m"
"Igor",2013,"m"
"Igor",2011,"m"
"Igor",2012,"m"
"Igor",2009,"m"
"Ijmhotep",2013,"m"
"Ikaro",2004,"m"
"Ikaru-Ciccio",2013,"m"
"Ikarus",2015,"m"
"Ikarus",2008,"m"
"Ike",2009,"m"
"Iker",2011,"m"
"Ikona",2004,"w"
"I-Lena von Adlerhorst",2009,"w"
"Ilexa",2005,"w"
"Iloana",2016,"w"
"Iloy lupiter v. Hentschenried",2016,"m"
"Ilse Tipsy",2006,"w"
"Iluq (Nica von Kupferschmiede)",2011,"w"
"I'm Rocky",2014,"m"
"Ima",2006,"w"
"Imala",2013,"w"
"Imalay",2001,"w"
"Imo",2002,"m"
"Imperator von Hartenfels",2011,"m"
"In äm Raja",2009,"m"
"Ina",2015,"w"
"Ina",2006,"w"
"Inaara",2009,"w"
"Inca",2007,"w"
"Inca",2004,"w"
"Indi (Quistra)",2014,"w"
"India",2005,"w"
"Indie",2016,"w"
"Indie",2009,"w"
"Indigo",2011,"w"
"Indira",2008,"w"
"Indira Girl of Taiga's Dream",2012,"w"
"Indy",2014,"w"
"Indy",2003,"m"
"Indy (Arkadia)",2013,"w"
"Infinity",2015,"m"
"Ingi (Topsi von Ebenland)",2015,"w"
"Ingo",2016,"m"
"Ingo von Burg Schwärtzenberg",2004,"m"
"Inja (von Ciney)",2007,"w"
"Inka",2013,"w"
"Inola (Dixxi)",2015,"w"
"Inouk",2012,"m"
"Inu",2002,"m"
"Inuki",2004,"m"
"Inyima",2013,"w"
"Iota",2013,"w"
"Ipo",2005,"w"
"Ipsy",2006,"w"
"Ira",2008,"w"
"Iraya",2009,"w"
"Iris",2009,"w"
"Iris",2015,"w"
"Iris",2015,"w"
"Iris",2016,"w"
"Iris",2013,"w"
"Irk",2009,"m"
"Irma",2013,"w"
"Irma",2012,"w"
"Iron",2012,"m"
"Isa",2008,"w"
"Ischa",2005,"w"
"Ischla",2013,"w"
"Isi",2009,"m"
"Isidor (Waid little John )",2007,"m"
"Isis",2013,"w"
"Iska (Ilmatar von Mainikka)",2015,"w"
"Isom",2006,"w"
"Isy",2010,"m"
"Italy",2007,"w"
"Itty",2008,"w"
"Iva",2012,"w"
"Ivana",2016,"w"
"Ivar",2004,"m"
"Ivor of white Sparkle",2010,"m"
"Ivy",2009,"w"
"Ivy",2012,"w"
"Ivy",2013,"w"
"Ivy (Qena von Ciney)",2012,"w"
"Ivy (You'r My Sunshine)",2016,"w"
"Iwa",2013,"w"
"Iwa des seigneurs d'orient",2013,"w"
"Izabella",2008,"w"
"Izzy",2012,"w"
"J (Primo)",2015,"m"
"Jabba",2010,"w"
"Jabba",2002,"m"
"Jabi",2012,"m"
"Jack",2010,"m"
"Jack",2012,"m"
"Jack",2010,"m"
"Jack",2011,"m"
"Jack",2005,"m"
"Jack",2010,"m"
"Jack",2001,"m"
"Jack",2012,"m"
"Jack",2013,"m"
"Jack",2011,"m"
"Jack",2013,"m"
"Jack",2016,"m"
"Jack",2015,"m"
"Jack",2005,"m"
"Jack",2013,"m"
"Jack",2006,"m"
"Jack",2009,"m"
"Jack",2010,"m"
"Jack",2002,"m"
"Jack",2003,"m"
"Jack",2003,"m"
"Jack",2010,"m"
"Jack Mack's Jo-Idwal",2013,"m"
"Jack Mingan",2009,"m"
"Jack White",2014,"m"
"Jackie",2009,"m"
"Jackie",2015,"w"
"Jackie",2002,"w"
"Jackie",2008,"w"
"Jackie",2007,"w"
"Jackj",2006,"m"
"Jackson",2016,"m"
"Jackson",2014,"m"
"Jackson (Victory)",2009,"m"
"Jacky",2007,"m"
"Jacky",2015,"m"
"Jacky",2010,"m"
"Jacky",2007,"m"
"Jacky",2014,"m"
"Jacky",2004,"m"
"Jacky",2015,"m"
"Jacky",2015,"m"
"Jacky",2016,"m"
"Jacky",2016,"m"
"Jacky",2013,"m"
"Jacky",2014,"w"
"Jacky",2002,"m"
"Jacky",2014,"w"
"Jacky",2013,"m"
"Jacky",2007,"m"
"Jacky",2006,"m"
"Jacky",2008,"w"
"Jäcky",2009,"m"
"Jacky Junior",2011,"m"
"Jacob",2016,"m"
"Jacomo",2007,"m"
"Jade",2013,"w"
"Jagi",2009,"m"
"Jago",2010,"m"
"Jago (Quasi)",2012,"m"
"Jaika",2016,"w"
"Jaiko",2009,"m"
"Jaime",2005,"m"
"Jake",2013,"m"
"Jake (Timo)",2014,"m"
"Jake (Valmy)",2009,"m"
"Jako",2014,"m"
"Jala",2015,"w"
"Jala",2009,"w"
"Jamba",2012,"w"
"Jambo",2004,"m"
"Jambo",2007,"m"
"Jambo (Troll Belaja)",2003,"m"
"Jambo (Winston)",2014,"m"
"James",2006,"m"
"James",2012,"m"
"James Dean",2013,"m"
"Jamica",2015,"w"
"Jamie",2015,"w"
"Jamie",2010,"m"
"Jamie",2011,"w"
"Jamie ",2006,"w"
"Jamie (Classic Coco Chanel)",2010,"w"
"Jamila",2012,"w"
"Jamiro",2006,"m"
"Jamy",2013,"m"
"Jana",2006,"w"
"Jana",2005,"w"
"Jana",2011,"w"
"Jana",2003,"w"
"Jana",2012,"w"
"Jane",2016,"w"
"Jane",2011,"w"
"Jango",2007,"w"
"Jango",2016,"m"
"Janka",2009,"w"
"Janna",2007,"w"
"Janne",2005,"m"
"Janosch",2002,"m"
"Janosch",2010,"m"
"Janosch",2007,"m"
"Janouk",2016,"m"
"Janu",2016,"m"
"Jarmusch",2002,"m"
"Jaro (Jérome)",2010,"m"
"Jascha",2002,"m"
"Jashko Elay",2013,"m"
"Jasira",2016,"w"
"Jasmin",2008,"w"
"Jasmine",2012,"w"
"Jason",2006,"m"
"Jasper",2016,"m"
"Jasper Namid",2009,"m"
"Jasper/Jimy Coo",2011,"m"
"Jassu",2004,"m"
"Jasty",2011,"m"
"Jay",2015,"w"
"Jay",2006,"m"
"Jay (Dallas)",2008,"m"
"Jay Jay",2008,"m"
"Jay Jay (Aladin Rasselbande)",2011,"m"
"Jaycee",2004,"m"
"Jayden",2014,"m"
"Jay-J",2008,"m"
"Jayjay",2004,"m"
"Jayjay",2014,"m"
"Jazz",2006,"m"
"Jazz",2013,"m"
"Jazz",2012,"m"
"Jazzy",2003,"m"
"Jeames",2014,"m"
"Jean Luc",2015,"m"
"Jeanny",2006,"w"
"Jeanny",2013,"w"
"Jebo",2012,"m"
"Jeckie",2004,"w"
"Jeeva (Hunting friend)",2014,"m"
"Jeffrey",2008,"m"
"Jeki",2016,"m"
"Jeki",2008,"m"
"Jella v. Hofmannstal",2011,"w"
"Jelly",2012,"w"
"Jemie",2005,"m"
"Jemma",2014,"w"
"Jengo",2011,"m"
"Jenni",2012,"w"
"Jennifer",2010,"w"
"Jenny",2004,"w"
"Jenny",2011,"w"
"Jenny",2012,"w"
"Jenny",2011,"w"
"Jenny",2013,"w"
"Jenny",2002,"w"
"Jenny (Ombra)",2016,"w"
"Jeramo",2009,"m"
"Jero",2012,"m"
"Jerome",2005,"m"
"Jerrino",2012,"m"
"Jerrry",2008,"m"
"Jerry",2016,"m"
"Jerry",2013,"m"
"Jerry",2013,"m"
"Jerry",2004,"m"
"Jerry",2004,"m"
"Jerry",2006,"m"
"Jerry",2006,"m"
"Jerry",2002,"w"
"Jerry",2003,"m"
"Jerry",2011,"m"
"Jerry",2013,"m"
"Jerry (Gary)",2009,"m"
"Jerry-Lee vom Hoppiho",2010,"m"
"Jesse",2010,"w"
"Jessi",2011,"w"
"Jessi",2010,"m"
"Jessi",2005,"w"
"Jessie von Kopfrein",2016,"w"
"Jessy",2002,"w"
