HUNDENAME,GEBURTSJAHR_HUND,GESCHLECHT_HUND
"Azan (Viserion Aglow)",2015,"m"
"Azim",2009,"m"
"Azira vom Mühlibach",2009,"w"
"Azizza",2005,"w"
"Azzurra",2012,"w"
"Azzurro",2009,"m"
"Azzy",2012,"w"
"Baballu",2014,"w"
"Babalu",2016,"m"
"Babar",2007,"m"
"Babe",2009,"w"
"Babel",2006,"w"
"Babett",2011,"w"
"Babou",2013,"w"
"Babu",2012,"m"
"Babu (Udo von Tannenthalbad)",2007,"m"
"Baby",2012,"w"
"Baccio",2014,"m"
"Bachata",2006,"w"
"Bacon",2013,"m"
"Badjo",2004,"m"
"Bado",2011,"m"
"Bady",2004,"m"
"Bafi vom  Füllern",2009,"w"
"Bagdo",2004,"m"
"Bagira",2013,"w"
"Bagus",2016,"m"
"Bahia Joy",2016,"w"
"Baija",2011,"w"
"Baika (Bossa)",2006,"w"
"Baika fidelis anima",2015,"w"
"Baila",2004,"w"
"Baila",2013,"w"
"Baila",2012,"w"
"Bailey",2013,"w"
"Bailey",2008,"m"
"Bailey",2007,"m"
"Baileys Bambi",2011,"w"
"Baily",2006,"m"
"Bailys",2011,"m"
"Baira von der Biberfalle",2016,"w"
"Baja",2004,"w"
"Bakari",2008,"m"
"Bakari Taste",2014,"w"
"Bako",2009,"m"
"Baksik",2010,"m"
"Baldo",2003,"m"
"Balduin",2014,"m"
"Baldur",2010,"m"
"Balim",2013,"w"
"Ballak",2016,"m"
"Balloo",2014,"w"
"Ballou",2015,"m"
"Bally",2016,"w"
"Bally",2016,"w"
"Baloo",2005,"m"
"Baloo",2016,"m"
"Baloo",2010,"m"
"Balosch",1998,"m"
"Balou",2009,"m"
"Balou",2013,"m"
"Balou",2006,"m"
"Balou",2012,"m"
"Balou",2005,"m"
"Balou",2010,"m"
"Balou",2013,"m"
"Balou",2008,"m"
"Balou (Dschowo's Julio)",2013,"m"
"Balou von Tay Pan",2016,"m"
"Balu",2016,"m"
"Balu",2016,"m"
"Balu",2011,"m"
"Balu",2010,"m"
"Balu",2011,"m"
"Balu",2016,"m"
"Balu",2015,"m"
"Balu",2011,"m"
"Balu",2008,"m"
"Balu",2015,"m"
"Balu",2011,"m"
"Balu",2007,"m"
"Balu",2013,"m"
"Balu",2015,"m"
"Balu",2014,"m"
"Balu",2007,"m"
"Balu",2013,"m"
"Balu",2004,"m"
"Balu",2016,"m"
"Balu",2010,"m"
"Balu (Happy Balu)",2014,"m"
"Balu (Hathi)",2013,"w"
"Balu Lancelot",2015,"m"
"Balu (Orion)",2014,"m"
"Balu (Speedy)",2007,"m"
"Baly (Newton)",2007,"m"
"Balzac du Clos des Pontet",2010,"m"
"Bambi",2005,"m"
"Bambi",2008,"m"
